1,The Weeknd,Starboy,"3,135,625",2017-01-01
2,The Chainsmokers,Closer,"3,015,525",2017-01-01
3,DJ Snake,Let Me Love You,"2,545,384",2017-01-01
4,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"2,356,604",2017-01-01
5,Drake,One Dance,"2,259,887",2017-01-01
6,Drake,Fake Love,"2,137,437",2017-01-01
7,Bruno Mars,24K Magic,"2,111,599",2017-01-01
8,Maroon 5,Don't Wanna Know,"2,107,137",2017-01-01
9,Rae Sremmurd,Black Beatles,"2,075,732",2017-01-01
10,The Weeknd,I Feel It Coming,"1,949,575",2017-01-01
11,Shakira,Chantaje (feat. Maluma),"1,893,214",2017-01-01
12,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","1,857,252",2017-01-01
13,James Arthur,Say You Won't Let Go,"1,812,335",2017-01-01
14,Migos,Bad and Boujee (feat. Lil Uzi Vert),"1,801,707",2017-01-01
15,Major Lazer,Cold Water (feat. Justin Bieber & MØ),"1,731,191",2017-01-01
16,Martin Garrix,In the Name of Love,"1,647,944",2017-01-01
17,Ariana Grande,Side To Side,"1,527,676",2017-01-01
18,Starley,Call On Me - Ryan Riback Extended Remix,"1,507,320",2017-01-01
19,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","1,480,601",2017-01-01
20,The Chainsmokers,Don't Let Me Down,"1,438,471",2017-01-01
21,Shawn Mendes,Treat You Better,"1,409,430",2017-01-01
22,Steve Aoki,Just Hold On,"1,375,005",2017-01-01
23,Calvin Harris,My Way,"1,341,827",2017-01-01
24,Hailee Steinfeld,Starving,"1,338,596",2017-01-01
25,Machine Gun Kelly,Bad Things (with Camila Cabello),"1,257,334",2017-01-01
26,Twenty One Pilots,Heathens,"1,255,839",2017-01-01
27,Sia,Cheap Thrills,"1,238,279",2017-01-01
28,The Chainsmokers,All We Know,"1,238,138",2017-01-01
29,Shawn Mendes,Mercy,"1,215,550",2017-01-01
30,CNCO,Reggaetón Lento (Bailemos),"1,164,530",2017-01-01
31,DRAM,Broccoli (feat. Lil Yachty),"1,149,938",2017-01-01
32,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"1,112,074",2017-01-01
33,J Balvin,Safari,"1,112,032",2017-01-01
34,Calvin Harris,This Is What You Came For,"1,094,062",2017-01-01
35,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),"1,059,658",2017-01-01
36,Alessia Cara,Scars To Your Beautiful,"1,031,598",2017-01-01
37,Ricky Martin,Vente Pa' Ca,"1,016,899",2017-01-01
38,The Vamps,All Night,"1,003,894",2017-01-01
39,Jonas Blue,By Your Side,"971,615",2017-01-01
40,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),"971,342",2017-01-01
41,Aminé,Caroline,"963,128",2017-01-01
42,Sage The Gemini,Now and Later,"959,972",2017-01-01
43,John Legend,Love Me Now,"950,832",2017-01-01
44,Nevada,The Mack,"949,200",2017-01-01
45,Alan Walker,Alone,"936,813",2017-01-01
46,Rihanna,Work,"899,368",2017-01-01
47,Zion & Lennox,Otra vez (feat. J Balvin),"893,174",2017-01-01
48,Zara Larsson,I Would Like,"892,922",2017-01-01
49,Alok,Hear Me Now,"873,494",2017-01-01
50,Robin Schulz,Shed a Light,"868,259",2017-01-01
51,Big Sean,Bounce Back,"859,929",2017-01-01
52,Justin Bieber,Love Yourself,"858,762",2017-01-01
53,DNCE,Cake By The Ocean,"830,889",2017-01-01
54,The Weeknd,Party Monster,"829,599",2017-01-01
55,Justin Bieber,Sorry,"827,170",2017-01-01
56,Twenty One Pilots,Ride,"825,398",2017-01-01
57,Carlos Vives,La Bicicleta,"810,362",2017-01-01
58,Jonas Blue,Perfect Strangers,"806,283",2017-01-01
59,Desiigner,Panda,"788,804",2017-01-01
60,Drake,Too Good,"786,785",2017-01-01
61,Alessia Cara,"How Far I'll Go - From ""Moana""","778,773",2017-01-01
62,NEIKED,Sexual,"770,804",2017-01-01
63,Ariana Grande,Into You,"762,502",2017-01-01
64,Twenty One Pilots,Stressed Out,"758,614",2017-01-01
65,J. Cole,Deja Vu,"748,367",2017-01-01
66,Daddy Yankee,Shaky Shaky,"735,912",2017-01-01
67,Alan Walker,Faded,"713,049",2017-01-01
68,Sia,The Greatest,"709,411",2017-01-01
69,Drake,Controlla,"687,222",2017-01-01
70,Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,"686,053",2017-01-01
71,Sebastian Yatra,Traicionera,"685,732",2017-01-01
72,21 Savage,X (feat. Future),"673,320",2017-01-01
73,Adele,Send My Love (To Your New Lover),"672,465",2017-01-01
74,Zay Hilfigerrr,Juju On That Beat (TZ Anthem),"672,103",2017-01-01
75,Enrique Iglesias,DUELE EL CORAZON,"666,941",2017-01-01
76,Coldplay,Hymn for the Weekend - Seeb Remix,"655,597",2017-01-01
77,gnash,"i hate u, i love u (feat. olivia o'brien)","653,547",2017-01-01
78,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","650,717",2017-01-01
79,Martin Jensen,Solo Dance,"647,007",2017-01-01
80,Rob $tone,Chill Bill,"646,550",2017-01-01
81,MC G15,Deu Onda,"640,703",2017-01-01
82,Mike Perry,The Ocean (feat. Shy Martin),"621,355",2017-01-01
83,Rihanna,Needed Me,"618,514",2017-01-01
84,Rag'n'Bone Man,Human,"615,851",2017-01-01
85,The Chainsmokers,Setting Fires,"599,513",2017-01-01
86,Sia,The Greatest,"597,051",2017-01-01
87,Lukas Graham,7 Years,"593,676",2017-01-01
88,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,"586,302",2017-01-01
89,Drake,Sneakin’,"580,939",2017-01-01
90,Young M.A,OOOUUU,"580,826",2017-01-01
91,Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),"579,504",2017-01-01
92,Noah Cyrus,Make Me (Cry),"577,810",2017-01-01
93,Luke Christopher,Lot to Learn,"570,299",2017-01-01
94,Jonas Blue,Fast Car,"567,927",2017-01-01
95,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),"567,639",2017-01-01
96,Adele,Water Under the Bridge,"565,509",2017-01-01
97,Little Mix,Shout Out to My Ex,"561,342",2017-01-01
98,21 Savage,No Heart,"553,704",2017-01-01
99,DJ Snake,Middle,"552,314",2017-01-01
100,Ozuna,Dile Que Tu Me Quieres,"549,784",2017-01-01
101,G-Eazy,"Me, Myself & I","546,883",2017-01-01
102,FRENSHIP,Capsize,"543,362",2017-01-01
103,Michael Jackson,Billie Jean,"538,134",2017-01-01
104,Major Lazer,Lean On (feat. MØ & DJ Snake),"536,139",2017-01-01
105,IAmChino,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","534,629",2017-01-01
106,Maluma,Borro Cassette,"531,529",2017-01-01
107,Chino & Nacho,Andas En Mi Cabeza,"523,705",2017-01-01
108,Petit Biscuit,Sunset Lover,"520,460",2017-01-01
109,The Weeknd,Sidewalks,"516,467",2017-01-01
110,Cheat Codes,Sex,"515,548",2017-01-01
111,MØ,Final Song,"505,038",2017-01-01
112,Jon Bellion,All Time Low,"501,034",2017-01-01
113,Bruno Mars,Versace on the Floor,"500,917",2017-01-01
114,The Weeknd,Six Feet Under,"489,564",2017-01-01
115,Andy Grammer,Fresh Eyes,"489,550",2017-01-01
116,Wisin,Vacaciones,"487,214",2017-01-01
117,Queen,Bohemian Rhapsody - Remastered 2011,"482,964",2017-01-01
118,Young Thug,pick up the phone,"480,609",2017-01-01
119,Lil Uzi Vert,You Was Right,"476,850",2017-01-01
120,Vice,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),"476,309",2017-01-01
121,The Chainsmokers,Roses,"475,190",2017-01-01
122,Drake,Jumpman,"473,297",2017-01-01
123,Ed Sheeran,Photograph,"472,142",2017-01-01
124,ZAYN,PILLOWTALK,"470,638",2017-01-01
125,Foster The People,Pumped Up Kicks,"467,384",2017-01-01
126,Justin Bieber,What Do You Mean?,"464,343",2017-01-01
127,Zara Larsson,Lush Life,"460,606",2017-01-01
128,Drake,Hotline Bling,"459,418",2017-01-01
129,Childish Gambino,Redbone,"455,949",2017-01-01
130,Galantis,No Money,"453,779",2017-01-01
131,Pharrell Williams,"Happy - From ""Despicable Me 2""","453,426",2017-01-01
132,Adele,Hello,"448,638",2017-01-01
133,Niall Horan,This Town,"445,379",2017-01-01
134,Flume,Never Be Like You,"445,025",2017-01-01
135,Bebe Rexha,I Got You,"443,982",2017-01-01
136,David Guetta,Titanium (feat. Sia),"441,628",2017-01-01
137,Galantis,Love on Me,"441,050",2017-01-01
138,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,"440,038",2017-01-01
139,Piso 21,Me Llamas (feat. Maluma) - Remix,"439,910",2017-01-01
140,Hearts & Colors,Lighthouse - Andrelli Remix,"439,245",2017-01-01
141,Ed Sheeran,Thinking out Loud,"436,476",2017-01-01
142,The Jackson 5,I Want You Back,"436,184",2017-01-01
143,AJR,Weak,"428,247",2017-01-01
144,Shawn Mendes,Stitches,"426,162",2017-01-01
145,J. Cole,Neighbors,"425,033",2017-01-01
146,Calum Scott,Dancing On My Own,"420,756",2017-01-01
147,KYLE,iSpy (feat. Lil Yachty),"418,210",2017-01-01
148,Nause,Dynamite (feat. Pretty Sister),"413,497",2017-01-01
149,Marvin Gaye,Ain't No Mountain High Enough,"413,039",2017-01-01
150,Zara Larsson,Ain't My Fault,"411,636",2017-01-01
151,Kiiara,Gold,"410,605",2017-01-01
152,Future,Low Life,"409,112",2017-01-01
153,Charly Black,Gyal You A Party Animal - Remix,"406,113",2017-01-01
154,G-Eazy,Some Kind Of Drug,"403,095",2017-01-01
155,Nicky Jam,Hasta el Amanecer,"400,584",2017-01-01
156,The Weeknd,Can't Feel My Face,"398,209",2017-01-01
157,Rihanna,Love On The Brain,"397,058",2017-01-01
158,Thalía,Desde Esa Noche,"396,612",2017-01-01
159,The Weeknd,Reminder,"396,409",2017-01-01
160,Maluma,Cuatro Babys,"393,026",2017-01-01
161,Flo Rida,My House,"391,880",2017-01-01
162,J. Cole,No Role Modelz,"389,511",2017-01-01
163,The Weeknd,The Hills,"389,467",2017-01-01
